id,name,literal,area,IP,read group,write group,value,command,device,comment,other groups
316,-,-,Sala vip,192.168.4.214,8/0/13,,,on/off,1.1.21,21,
317,-,-,Sala vip,192.168.4.214,8/0/14,,,on/off,1.1.21,21,
318,-,-,Sala vip,192.168.4.214,8/0/15,,,on/off,1.1.21,21,
319,-,-,Sala vip,192.168.4.214,8/0/16,,,on/off,1.1.21,21,
320,-,-,Sala vip,192.168.4.214,8/0/17,,,on/off,1.1.21,21,
321,-,-,Sala vip,192.168.4.214,8/0/18,,,on/off,1.1.21,21,
322,-,-,Sala vip,192.168.4.214,8/0/19,,,on/off,1.1.21,21,
323,-,-,Sala vip,192.168.4.214,8/0/20,,,on/off,1.1.21,21,
324,-,-,Sala vip,192.168.4.214,8/0/21,,,on/off,1.1.21,21,
325,-,-,Sala vip,192.168.4.214,8/0/22,,,on/off,1.1.21,21,
326,-,-,Sala vip,192.168.4.214,8/0/23,,,on/off,1.1.21,21,
327,-,-,Sala vip,192.168.4.214,8/0/24,,,on/off,1.1.21,21,
328,-,-,Sala vip,192.168.4.214,8/0/25,,,on/off,1.1.21,21,
329,-,-,Sala vip,192.168.4.214,8/0/26,,,on/off,1.1.21,21,
330,-,-,Sala vip,192.168.4.214,8/0/27,,,on/off,1.1.21,21,
331,-,-,Sala vip,192.168.4.214,8/0/28,,,on/off,1.1.21,21,
332,-,-,Sala vip,192.168.4.214,8/0/29,,,on/off,1.1.21,21,
333,-,-,Sala vip,192.168.4.214,8/0/30,,,on/off,1.1.21,21,
334,-,-,Sala vip,192.168.4.214,8/0/31,,,on/off,1.1.21,21,
335,-,-,Sala vip,192.168.4.214,8/0/32,,,on/off,1.1.21,21,
336,-,-,Sala vip,192.168.4.214,8/0/33,,,on/off,1.1.21,21,
337,-,-,Sala vip,192.168.4.214,8/0/34,,,on/off,1.1.21,21,
338,-,-,Sala vip,192.168.4.214,8/0/35,,,on/off,1.1.21,21,
339,-,-,Sala vip,192.168.4.214,8/0/36,,,on/off,1.1.21,21,
340,-,-,Sala vip,192.168.4.214,8/0/37,,,on/off,1.1.21,21,
341,-,-,Sala vip,192.168.4.214,8/0/38,,,on/off,1.1.21,21,
342,-,-,Sala vip,192.168.4.214,8/0/39,,,on/off,1.1.21,21,
343,-,-,Sala vip,192.168.4.214,8/0/40,,,on/off,1.1.21,21,
344,-,-,Sala vip,192.168.4.214,8/0/41,,,on/off,1.1.21,21,
345,-,-,Sala vip,192.168.4.214,8/0/42,,,on/off,1.1.21,21,
346,-,-,Sala vip,192.168.4.214,8/0/43,,,on/off,1.1.21,21,
347,-,-,Sala vip,192.168.4.214,8/0/44,,,on/off,1.1.21,21,
348,-,-,Sala vip,192.168.4.214,8/0/45,,,on/off,1.1.21,21,
349,-,-,Sala vip,192.168.4.214,8/0/46,,,on/off,1.1.21,21,
350,-,-,Sala vip,192.168.4.214,8/0/47,,,on/off,1.1.21,21,
351,-,-,Sala vip,192.168.4.214,8/0/48,,,on/off,1.1.21,21,
352,-,-,Sala vip,192.168.4.214,8/0/49,,,on/off,1.1.21,21,
353,-,-,Sala vip,192.168.4.214,8/1/0,,,on/off,1.1.45,45,
354,-,-,Sala vip,192.168.4.214,8/1/1,,,on/off,1.1.45,45,
355,-,-,Sala vip,192.168.4.214,8/1/2,,,on/off,1.1.45,45,
356,-,-,Sala vip,192.168.4.214,8/1/3,,,on/off,1.1.45,45,
357,-,-,Sala vip,192.168.4.214,8/1/4,,,on/off,1.1.45,45,
358,-,-,Sala vip,192.168.4.214,8/1/5,,,on/off,1.1.45,45,
359,-,-,Sala vip,192.168.4.214,8/1/6,,,on/off,1.1.45,45,
360,-,-,Sala vip,192.168.4.214,8/1/7,,,on/off,1.1.45,45,
361,-,-,Sala vip,192.168.4.214,8/1/8,,,on/off,1.1.45,45,
362,-,-,Sala vip,192.168.4.214,8/1/9,,,on/off,1.1.45,45,
363,-,-,Sala vip,192.168.4.214,8/1/10,,,on/off,1.1.45,45,
364,-,-,Sala vip,192.168.4.214,8/1/11,,,on/off,1.1.45,45,
365,-,-,Sala vip,192.168.4.214,8/1/12,,,on/off,1.1.45,45,
366,-,-,Sala vip,192.168.4.214,8/1/13,,,on/off,1.1.45,45,
